station	depth	Temperature	Ammonium.5m	NO2.5m	NO3.5m	NH4toDIN.5m	Iron.5m	Si	PO4	ChlorophyllA	abslat
52	DCM	25.212642	0.01050256	0.005936726	0.006946565	0.449098901724808	0.001048266	2.824	0.159	0.149	-16.9534
52	SRF	27.956483	0.01050256	0.005936726	0.006946565	0.449098901724808	0.001048266	2.666	0.119	0.0332	-16.957
44	SRF	30.520165	0.015451062	0.007958741	0.004041403	0.562855489846238	0.001377608	2.2655	0.1225	0	2.815
4	DCM	16.3584	0.0228702432165543	0.0442594382911921	0.00806771474890411	0.304136105171748	0.00138769762512917	NA	NA	0.535777	36.5533
5	DCM	NA	0.0173675790429115	0.0265678962071737	0.00958477744522194	0.324504802729273	0.00138742728934934	1.146	0.078	0.341459	36.03955
6	DCM	18.878703	0.0178799061104655	0.0306335411344965	0.0739912525750697	0.145952817620323	0.0013831989102376	1.736125	0.145875	0.327175	36.5103
7	DCM	17.521075	0.0152447197275857	0.0334897727395097	0.00691847107373178	0.273924670990829	0.00138777678754802	0.4985	0.0065	0.338691	37.0277666666667
8	DCM	16.92915	0.0150636518374085	0.0272800264259179	0.00533238468536486	0.315958384684992	0.00138775878197824	NA	NA	0.3252005	38.0059666666667
9	DCM	15.88765	0.015086658919851	0.0487093214566509	0.0167545103468001	0.187294438362579	0.00138772993038098	NA	NA	0.442902	39.07355
10	DCM	13.6864375	0.0125914473707477	0.0417071028302113	0.0167409076044957	0.177245825907484	0.00138778088148683	NA	NA	0.2528945	40.6890666666667
12	DCM	13.541833	0.00987938139587641	0.0196589850820601	0.0213515959912911	0.19413222011807	0.00138776378783708	NA	NA	NA	43.3346
16	DCM	15.256858	0.00481592700816691	0.040637217151622	0.0482628112658858	0.0513885494342143	0.00138789714158823	NA	0.0161	0.15011	37.4532
17	DCM	16.606738	0.00898640075077613	0.0280529546240966	0.013768387803187	0.17687069310051	0.00138788897311315	NA	NA	0.101271	36.253
18	DCM	17.7258815	0.0091195614853253	0.0300156219551961	0.0102722228039056	0.18457883500723	0.00138789506551499	NA	NA	0.089895	35.7528
22	DCM	16.179467	0.00179241799438993	0.0265012976403038	0.0633485972260435	0.0195588472010058	0.00138803782950466	NA	0.0106875	0.12566	39.7657666666667
23	DCM	15.317558	0.00143125304020941	0.0270646174127857	0.0774714822570483	0.0135065470978191	0.00138787750620395	1.0505	0.012	0.141938	42.1691666666667
25	DCM	15.181967	0.0023266482554997	0.0286965935180585	0.0486669912934303	0.0291961532292658	0.00138795212842524	1.354	NA	0.134028	39.3956666666667
30	DCM	18.41547	0.00327023347684493	0.034886073321104	0.0541556868702173	0.0354258785548542	0.00138815717461209	0.6655	0	0.096851	33.9212
32	DCM	26.12925	0.0201475468153755	0.0104960818619778	0.00528440969840934	0.560775030483357	0.00138778716791421	0.85	0.025	0.1566	23.41415
33	DCM	27.228237	0.0194904902018607	0.00687763312210639	0.00685935118235648	0.586577538360655	0.00138779064097131	1.14175	0.107	0.138248	22.1233
34	DCM	27.558763	0.0152658259806534	0.00406633915069203	0.00469377796010425	0.635389250800572	0.00138775453281899	1.3525	0.0885	0.14795	18.4505666666667
36	DCM	25.190459	0.0289020451406638	0.00623557770935198	0.0026747470404492	0.764354237102497	0.00138773602278282	1.4395	0.431	0.261995	20.8136
38	DCM	25.607735	0.0300325981030862	0.00427776932095488	0.00113878479896812	0.847202153500099	0.00138772641851877	1.625	0.417	0.185922	19.0239333333333
39	DCM	26.692435	0.0255101999888817	0.00472864528031399	0.00332351315349418	0.760083652870935	0.00138772013209139	1.2415	0.2465	0.196803	18.5722666666667
41	DCM	26.8457375	0.0202778459837039	0.00404723803512752	0.0046988741766351	0.698658875096893	0.00138769942956666	4.67525	1.097	0.195563	14.5582
42	DCM	27.9561	0.0158915508848925	0.0108710421870152	0.00495265839466204	0.501069679414126	0.0013876977803496	2.7335	0.2505	0.228999	5.9996
47	DCM	27.61325	0.016535838910689	0.00839672097936273	0.00809043079304198	0.500737170336138	0.0013135730017287	2.8465	0.199	0.132556	2.0465
50	DCM	23.42143	0.0117760570719838	0.0069710798173522	0.00383655703626573	0.521440695697439	0.000995480300237735	2.436	0.136	0.124049	21.4702
51	DCM	25.0811085	0.0112990311657389	0.00802495745786776	0.00405946664977819	0.483206225668433	0.00097728045269226	2.310375	0.1035	0.126512	21.47625
58	DCM	24.7398845	0.0110999473060171	0.00756411021575332	0.013670702620099	0.343282190970827	0.00100018053005139	3.1849995	0	0.2007475	17.3107333333333
64	DCM	22.2091983333333	0.0101982532069087	0.0306574714680513	0.0747607639059424	0.0882076019786096	0.000803409852475549	1.73883333333333	0.0826666666666667	0.135971333333333	29.5104
65	DCM	21.72823	0.00992695808721085	0.0657000627058248	0.482149295198421	0.0177973818582912	0.000760815028722088	NA	NA	0.177651	35.2421
66	DCM	15.014	0.019386056655397	0.184693300475677	1.54572241504987	0.0110790016124137	0.000311998861434404	2.5895	0.34975	0.221666	34.8901
68	DCM	16.74878	0.0158079856385787	0.0605974495410919	0.129485512462755	0.0767784393611744	0.000368279658384078	2.436	0.227	0.325714	31.0281
72	DCM	23.630095	0.011292623821646	0.0182348910408715	0.0364900045096874	0.171054955245721	0.00126216855521003	1.284	0.143	0.242586	8.717325
76	DCM	21.16596	0.0119591918773949	0.0139300390146673	0.0134531114405642	0.303977627368597	0.00077687834467118	0.712116	0.051522	0.103558	21.0492
78	DCM	19.32335	0.0177185568027198	0.0123646273665751	0.00197412431589328	0.552715048142813	0.000862562301335856	0.319	0	0.16855	30.1135666666667
80	DCM	17.789095	0.096365528802077	0.0107275110203773	0.0835020281374454	0.50560347564897	0.00122622006650393	2.723	0.357	0.200916	40.6159333333333
81	DCM	13.506225	0.154090276608864	0.0274974177591503	1.22448276480039	0.109589299458007	0.00105588923906907	1.296	0.412	0.291964	44.5697
82	DCM	7.154875	0.125833503901958	0.274188709134857	6.38722785313924	0.0185396887804449	0.000290781228007593	2.661	1.356	0.507313	47.20615
85	DCM	-0.7985725	0.00768606374428297	0.0427742149913684	26.6249059041341	0.000288133392118859	0.000451462571315157	81.82	2.309	0.289537	62.20745
86	DCM	-1.6387	0.00653248652815819	0.0121841092865604	28.1825784047445	0.000231637821171994	0.000387725547928615	63.035	2.4585	0.973888	64.3276
93	DCM	15.376875	0.0408711628988385	0.175246051202218	11.336968421936	0.00353768371380809	3.97358015410039e-06	0.46	1.08725	0.484784	33.92965
96	DCM	18.125315	0.0101898570234577	0.0732210210214059	0.106033051076035	0.0537882479039736	0.000148684310564325	0.5315	0.181	0.1658365	29.6467
97	DCM	18.4782975	0.00841494339207808	0.0395757236207525	0.0121309145664175	0.139965436221702	0.000237817148445174	0.5065	0.1725	0.1476	28.1844
98	DCM	20.190275	0.00798635904599602	0.0292867912600438	0.0106980515023073	0.16648236327084	0.000233155270204103	NA	NA	0.1244705	25.8211
100	DCM	19.14324	0.018424853682518	0.128016118581096	9.24222071965536	0.00196245793991881	3.27718252416768e-06	8.2215	1.41458333333333	0.172344	12.94625
102	DCM	19.781235	0.0343005945906043	0.573159586017331	7.14099454879761	0.00442676582473055	4.39791703380858e-06	10.5045	1.8615	0.365239	5.26823333333333
106	DCM	22.59275	0.0419966767852505	0.587957231948773	5.37564118703206	0.00699292511658969	4.38694265388525e-06	6.439125	0.852125	0.2542515	0.0684
109	DCM	25.7256125	0.0386574637765686	0.41164176662763	3.42335474366943	0.00997958620860383	4.99377377612594e-06	3.443	0.536	0.328588	2.02585
110	DCM	22.153465	0.0425270448128382	0.645360056310892	6.02954892317454	0.00633084478348728	5.49291015280081e-06	5.407	0.9295	0.2892165	1.85785
111	DCM	19.8676575	0.0130755654536188	0.0434914482757449	7.84367124239604	0.0016550849518343	3.00705391964584e-06	0.9285	0.443	0.214537	16.9697
112	DCM	21.6712783333333	0.00623687038508554	0.0178280429293712	0.02286180605491	0.132906592851596	0.000157500916733018	0.6875	0.115666666666667	0.138280666666667	23.2273
122	DCM	24.7110016666667	0.0301115935047468	0.0875584715201209	6.20714783668518	0.00476086331222366	2.31629201152828e-06	NA	NA	0.19627	8.976425
123	DCM	22.5021075	0.0250830895577868	0.0547781143492709	6.23176415761312	0.00397410938087514	2.2765814643814e-06	1.18375	0.6607	0.0069015	8.89826666666667
127	DCM	26.960655	0.0194212753946582	0.0368460632162169	5.95498657226562	0.00323081934029075	3.05382059195836e-06	1.5525	0.56825	0.179825	6.6334
128	DCM	26.139288	0.0324202543124557	0.0788008189604928	3.82748258113861	0.00823119918558566	3.34505792428293e-06	2.7405	0.54925	0.28262	0.0244
129	DCM	28.2512283333333	0.0120129918990036	0.00482396276978155	3.23666127522786	0.00369233085440628	3.42613884640741e-06	1.448	0.332	0.213181666666667	6.67405
131	DCM	22.3624875	0.0158399121525387	0.00588271297359218	0.00245108513142137	0.65525366126162	0.000198943010521665	1.6413	0.0172	0.11445	22.7511
132	DCM	15.321075	0.022323497881492	0.0235012033954263	0.00161844523972832	0.470531562944697	0.000814380095107481	4.4468	0.1252	0.158691	31.497725
133	DCM	13.874505	0.0196726736612618	0.0100270134862512	0.00480180848292851	0.570197705977248	0.000164223571725112	2.65725	0.43225	0.389715	35.39635
135	DCM	16.2703	0.0227338994542758	0.0203621654460828	0.539206755890821	0.039041369271382	3.36041846746108e-05	1.615166	0.370333	0.267761	32.97595
137	DCM	20.58574	0.0162001790789266	0.0237649796375384	3.00637382268906	0.00531791740111999	4.21179189894853e-06	4.661	0.884	0.366719	14.2006
138	DCM	17.4826366666667	0.0131725465568403	0.0204162315155069	2.89127292235692	0.00450364766132601	4.68884991278173e-06	8.073	1.108	0.224806333333333	6.337175
142	DCM	24.961605	0.00934025567645828	0.0434836197334031	0.254889735331138	0.0303537294108187	0.00116824960180869	1.168	NA	0.114913	25.5954
143	DCM	24.82846	0.00638307747431099	0.0187819297425449	0.0890094578887026	0.055906348835614	0.00124196626711637	1.23	0.001	0.096165	29.8192
150	DCM	17.585567	0.0134359668008983	0.0238127287787696	0.0964772223718076	0.100473917148759	0.00110077684318336	0.8423	0	0.21402	35.8419
151	DCM	16.74203	0.0210448717698455	0.0361690705564494	0.306125076972724	0.0579207589937543	0.00129950981742392	0.6335	0.022	0.16463	36.1770666666667
155	DCM	10.79018	0.00718920450890437	0.0101297681061017	0.689068984091894	0.0101774165890648	0.000426155762397684	3.554362	0.566253	0.789471	54.5273
158	DCM	6.73489	0.0237013849352176	0.0327859098712603	5.40594208240509	0.00433898240114485	0.000599484250415117	4.95809	0.709183	0.764172	67.1679
168	DCM	3.824545	0.00697931119551261	0.00160999117982404	0.0414304937197206	0.139530980539168	0.000430005408513049	1.135333	0.098435	1.1063	72.5526666666667
173	DCM	-1.2980625	0.00408161628486899	0.0206187068639944	6.2408983707428	0.000651432765530956	0.00121553147134061	0.231772	0.209065	1.9855695	78.93365
180	DCM	-1.412896	0.00347439909819514	0.0166713395155966	2.74298050006231	0.0012574159839544	0.00138765590963885	7.3307485	0.432975	0.5559495	74.8241
188	DCM	-1.61533533333333	0.00225790410892538	0.0107508251579323	4.44297659397125	0.00050671264493407	0.00130413905329381	0.962260666666667	0.315067333333333	1.33089866666667	78.3361666666667
189	DCM	-1.0723575	0.000620583539178673	0.00842355004472969	4.56070709228516	0.000135802477750996	0.00127005092023561	NA	NA	0.7670315	77.9511
194	DCM	-0.987833	0.00294342708851521	0.0864545510460933	12.0937034289042	0.000241599161836956	0.000713809480657801	5.566842	0.866194	0.544297	73.3542666666667
201	DCM	-0.407555	0.000747411436653541	0.01022430837232	6.63455661137899	0.00011246832447405	0.000958759172741945	3.8851235	0.6605385	0.8878635	74.32965
4	SRF	20.238088	0.0228702432165543	0.0442594382911921	0.00806771474890411	0.304136105171748	0.00138769762512917	NA	NA	0.180403	36.5533
5	SRF	20.730517	0.0173675790429115	0.0265678962071737	0.00958477744522194	0.324504802729273	0.00138742728934934	0.891375	0.0925	0.607927	36.0205
6	SRF	18.589717	0.0178799061104655	0.0306335411344965	0.0739912525750697	0.145952817620323	0.0013831989102376	0.891375	0.0925	1.335038	36.51935
7	SRF	23.8141	0.0152447197275857	0.0334897727395097	0.00691847107373178	0.273924670990829	0.00138777678754802	0.7935	0.0475	0.189348	37.0350333333333
8	SRF	23.8501	0.0150636518374085	0.0272800264259179	0.00533238468536486	0.315958384684992	0.00138775878197824	NA	NA	0	38.0021666666667
9	SRF	24.4828	0.015086658919851	0.0487093214566509	0.0167545103468001	0.187294438362579	0.00138772993038098	NA	NA	0.136232	39.12445
10	SRF	23.6849	0.0125914473707477	0.0417071028302113	0.0167409076044957	0.177245825907484	0.00138778088148683	NA	NA	0.1929635	40.6694
11	SRF	NA	0.00913240884741147	0.0318073155358434	0.0242744355152051	0.140037207588518	0.00138777471147478	NA	NA	NA	41.6671666666667
12	SRF	22.886258	0.00987938139587641	0.0196589850820601	0.0213515959912911	0.19413222011807	0.00138776378783708	NA	NA	NA	43.3529
14	SRF	21.620425	0.00994482326010863	0.0399858307403823	0.029376724579682	0.125395939673574	0.00138785251571486	0.97155	0.01605	0.097919	39.91
16	SRF	20.858567	0.00481592700816691	0.040637217151622	0.0482628112658858	0.0513885494342143	0.00138789714158823	0.6661	0.02835	0.11467	37.4956
17	SRF	21.098525	0.00898640075077613	0.0280529546240966	0.013768387803187	0.17687069310051	0.00138788897311315	NA	NA	0.015438	36.2749
18	SRF	21.48665	0.0091195614853253	0.0300156219551961	0.0102722228039056	0.18457883500723	0.00138789506551499	0.5571	0.0256	0.013344	35.7479666666667
19	SRF	21.7263625	0.00839572818949819	0.0419241270671288	0.0162560141955813	0.126107676228323	0.00138800269148002	NA	NA	0.055739	34.2143
20	SRF	21.481525	0.00884624818960826	0.0410984686265389	0.0152443726547062	0.135701361399801	0.00138797554730748	NA	NA	0.0464495	34.4509
21	SRF	19.467325	0.00439257194132855	0.03165478973339	0.0438045806561907	0.0550089554882157	0.00138796615647152	0.8355	0.006225	0.101364	37.51045
22	SRF	17.298758	0.00179241799438993	0.0265012976403038	0.0633485972260435	0.0195588472010058	0.00138803782950466	1.9913	0.0133	0.155586	39.8279333333333
23	SRF	17.211742	0.00143125304020941	0.0270646174127857	0.0774714822570483	0.0135065470978191	0.00138787750620395	1.372375	0.012	0.103935	42.1896333333333
24	SRF	18.478025	0.00150308499966438	0.0240268732110659	0.0710941844930251	0.0155559983002671	0.00138782457603763	NA	NA	0.105937	42.4568333333333
25	SRF	18.319192	0.0023266482554997	0.0286965935180585	0.0486669912934303	0.0291961532292658	0.00138795212842524	1.0505	0.00525	0.104797	39.3305333333333
26	SRF	19.1055	0.00274138831688712	0.03007304482162	0.0370823281506697	0.0392205342039447	0.00138795862828071	1.02675	0.0095	0.123858	38.4621
30	SRF	20.4425	0.00327023347684493	0.034886073321104	0.0541556868702173	0.0354258785548542	0.00138815717461209	0.816	0.00025	0.067706	33.9180333333333
31	SRF	25.0281	0.0112219053941468	0.0407715911666552	0.284178823232651	0.0333814080857152	0.00138711252172167	0.8825	0.01225	0.112855	27.1544333333333
32	SRF	25.811708	0.0201475468153755	0.0104960818619778	0.00528440969840934	0.560775030483357	0.00138778716791421	0.8775	0.00875	0.085486	23.36665
33	SRF	27.3097	0.0194904902018607	0.00687763312210639	0.00685935118235648	0.586577538360655	0.00138779064097131	1.12025	0.04575	0.150568	22.01585
34	SRF	27.635025	0.0152658259806534	0.00406633915069203	0.00469377796010425	0.635389250800572	0.00138775453281899	2.6405	0.144	0.137257	18.4128
36	SRF	25.681369	0.0289020451406638	0.00623557770935198	0.0026747470404492	0.764354237102497	0.00138773602278282	1.143	0.3575	0.205491	20.8199
38	SRF	26.313595	0.0300325981030862	0.00427776932095488	0.00113878479896812	0.847202153500099	0.00138772641851877	1.278	0.337	0.113641	19.0376
39	SRF	27.1249415	0.0255101999888817	0.00472864528031399	0.00332351315349418	0.760083652870935	0.00138772013209139	1.515	0.2335	0.1112215	18.5776
40	SRF	27.584135	0.0214854997272293	0.00378922563201437	0.0049088184023276	0.711828269634262	0.00138771931718414	1.792	0.27	0.131603	17.5294
41	SRF	29.151544	0.0202778459837039	0.00404723803512752	0.0046988741766351	0.698658875096893	0.00138769942956666	1.3865	0.1565	0.092377	14.5955666666667
42	SRF	30.12785	0.0158915508848925	0.0108710421870152	0.00495265839466204	0.501069679414126	0.0013876977803496	2.171	0.0765	0.080016	6.00393333333333
