Station.label	station	lat	long
TARA_001	1	44.4013	-9.8273
TARA_010	10	40.625	2.8899
TARA_100	100	-12.9052	-96.1567
TARA_101	101	-8.6333	-89.479
TARA_102	102	-5.1694	-85.3699
TARA_103	103	-1.5058	-84.5793
TARA_104	104	-0.9948	-84.5866
TARA_106	106	-0.004	-84.5928
TARA_109	109	1.9928	-84.5766
TARA_011	11	41.6632	2.7962
TARA_110	110	-1.7408	-84.6405
TARA_111	111	-16.9338	-100.6482
TARA_112	112	-23.128	-129.6051
TARA_113	113	-23.1107	-134.9326
TARA_114	114	-23.1592	-134.924
TARA_115	115	-23.2317	-134.9611
TARA_116	116	-23.2229	-134.9607
TARA_117	117	-23.1568	-135.0177
TARA_118	118	-23.1571	-135.018
TARA_119	119	-23.0243	-134.9227
TARA_012	12	43.3346	7.9026
TARA_120	120	-23.0241	-134.9232
TARA_121	121	-23.0729	-135.0183
TARA_122	122	-8.957	-139.2422
TARA_123	123	-8.8783	-140.2997
TARA_124	124	-8.8517	-140.5782
TARA_125	125	-8.8706	-142.6473
TARA_126	126	-11.964	-151.3431
TARA_127	127	-6.5996	-152.5229
TARA_128	128	0.001	-153.6387
TARA_129	129	6.6037	-153.0424
TARA_130	130	11.2461	-152.4717
TARA_131	131	22.7035	-158.0353
TARA_132	132	31.471	-159.101
TARA_133	133	35.2698	-127.7268
TARA_134	134	32.6002	-121.9759
TARA_135	135	32.931	-121.8645
TARA_136	136	17.0013	-118.9386
TARA_137	137	14.1146	-116.7633
TARA_138	138	6.0371	-102.9692
TARA_139	139	6.4789	-94.9784
TARA_014	14	39.8923	12.8473
TARA_140	140	7.4117	-79.3026
TARA_141	141	9.8321	-80.1047
TARA_142	142	25.4925	-88.3432
TARA_143	143	29.6394	-79.5395
TARA_144	144	36.3318	-72.6899
TARA_145	145	39.1049	-70.0234
TARA_146	146	34.6475	-71.2589
TARA_147	147	32.8904	-66.5547
TARA_148	148	31.6948	-64.2489
TARA_148b	148b	34.0191	-56.8657
TARA_149	149	34.0427	-49.8073
TARA_015	15	39.9424	13.7659
TARA_150	150	35.7031	-36.9772
TARA_151	151	36.1375	-28.935
TARA_152	152	43.517	-16.8449
TARA_153	153	43.9778	-16.5611
TARA_155	155	54.5131	-16.6374
TARA_156	156	60.9233	-7.8787
TARA_157	157	65.6752	-1.7654
TARA_158	158	67.1178	0.369
TARA_159	159	68.9846	2.1404
TARA_016	16	37.2989	15.4078
TARA_160	160	70.3568	3.6021
TARA_161	161	72.3746	3.9191
TARA_162	162	74.1638	3.9078
TARA_163	163	76.0361	2.0547
TARA_164	164	74.6059	6.5276
TARA_165	165	73.4478	10.1923
TARA_166	166	71.2133	14.6323
TARA_167	167	71.0054	38.7136
TARA_168	168	72.5123	44.0733
TARA_169	169	74.3779	47.2286
TARA_017	17	36.253	14.3033
TARA_170	170	75.9359	51.8516
TARA_171	171	77.5824	58.4736
TARA_172	172	77.9444	68.0627
TARA_173	173	78.9298	79.3363
TARA_174	174	79.0173	71.6373
TARA_175	175	79.2009	66.6071
TARA_176	176	77.7446	65.4462
TARA_177	177	77.8714	71.7492
TARA_178	178	77.1604	73.2057
TARA_179	179	75.5401	74.5639
TARA_018	18	35.7405	14.3238
TARA_180	180	74.8023	76.1478
TARA_181	181	73.9638	77.0724
TARA_182	182	75.9658	78.6516
TARA_183	183	77.4394	75.7306
TARA_184	184	79.0149	69.71
TARA_185	185	79.6731	60.9898
TARA_186	186	79.0467	74.1388
TARA_187	187	78.1182	86.5582
TARA_188	188	78.2518	91.8557
TARA_189	189	77.9028	117.1545
TARA_019	19	34.2116	13.7684
TARA_190	190	73.8243	145.7763
TARA_191	191	71.5111	160.9867
TARA_192	192	70.7035	166.3288
TARA_193	193	71.0704	174.9916
TARA_194	194	73.3006	-168.7955
TARA_195	195	72.2071	-159.7226
TARA_196	196	71.8748	-154.9246
TARA_197	197	71.3316	-148.7025
TARA_198	198	71.4773	-141.8666
TARA_199	199	70.3851	-140.2461
TARA_002	2	39.0564	-10.9808
TARA_020	20	34.4064	15.043
TARA_200	200	71.979	-93.5618
TARA_201	201	74.2958	-85.704
TARA_202	202	73.1478	-84.9668
TARA_203	203	73.0673	-80.3606
TARA_204	204	72.6727	-78.4615
TARA_205	205	72.4376	-71.8843
TARA_206	206	70.9203	-53.6362
TARA_207	207	69.2027	-52.8535
TARA_208	208	69.0936	-51.6463
TARA_209	209	64.6878	-53.9663
TARA_021	21	37.5057	17.2174
TARA_210	210	61.5209	-55.9973
TARA_022	22	39.5705	17.4101
TARA_023	23	42.1519	17.7429
TARA_024	24	42.4552	17.9348
TARA_025	25	39.2143	19.406
TARA_026	26	38.3966	20.2003
TARA_027	27	33.9258	32.9112
TARA_028	28	34.2641	32.9707
TARA_003	3	36.631	-10.4073
TARA_030	30	33.9175	32.8787
TARA_031	31	27.145	34.8067
TARA_032	32	23.3633	37.2183
TARA_033	33	21.9467	38.2517
TARA_034	34	18.3967	39.875
TARA_036	36	20.8023	63.5028
TARA_037	37	20.8096	63.6141
TARA_038	38	19.0085	64.5807
TARA_039	39	18.5537	66.5058
TARA_004	4	36.5533	-6.5669
TARA_040	40	17.4803	67.9841
TARA_041	41	14.5536	70.0128
TARA_042	42	5.9541	73.9461
TARA_043	43	4.6595	73.4888
TARA_044	44	2.7872	71.481
TARA_045	45	0.0023	71.6311
TARA_046	46	-0.6623	73.1629
TARA_047	47	-2.0409	72.1645
TARA_048	48	-9.3921	66.4228
TARA_049	49	-16.8082	59.5043
TARA_005	5	36.0088	-4.5184
TARA_050	50	-21.4612	56.7654
TARA_051	51	-21.4523	54.2966
TARA_052	52	-16.807	53.9117
TARA_053	53	-13.0579	46.9673
TARA_054	54	-12.8071	45.2249
TARA_055	55	-14.2296	43.9951
TARA_056	56	-15.3379	43.2948
TARA_057	57	-17.0244	42.7415
TARA_058	58	-17.2245	42.3017
TARA_059	59	-19.0589	40.7996
TARA_006	6	36.5103	-3.9747
TARA_060	60	-20.2417	40.0906
TARA_061	61	-21.3753	39.5633
TARA_062	62	-22.3368	40.3411
TARA_064	64	-29.486	37.8939
TARA_065	65	-35.1728	26.2868
TARA_066	66	-34.874	18.0728
TARA_067	67	-32.114	17.6885
TARA_068	68	-31.0198	4.6685
TARA_069	69	-24.0822	2.5558
TARA_007	7	37.0112	1.946
TARA_070	70	-20.3307	-3.2705
TARA_071	71	-9.1661	-9.837
TARA_072	72	-8.6287	-18.058
TARA_073	73	-12.4951	-24.3957
TARA_074	74	-16.0402	-28.8917
TARA_075	75	-17.9555	-32.7473
TARA_076	76	-20.9308	-35.1794
TARA_077	77	-24.5586	-43.8607
TARA_078	78	-30.052	-43.2619
TARA_079a	79a	-34.3195	-47.5959
TARA_079b	79b	-35.5154	-55.1753
TARA_008	8	38.0017	3.9718
TARA_080	80	-40.6083	-51.9557
TARA_081	81	-44.5325	-52.4689
TARA_082	82	-47.1179	-57.7444
TARA_083	83	-54.3739	-65.1342
TARA_084	84	-60.2287	-60.6476
TARA_085	85	-61.9689	-49.5017
TARA_086	86	-64.3183	-53.1081
TARA_087	87	-63.8417	-56.1566
TARA_088	88	-63.3815	-56.8047
TARA_089	89	-57.7338	-67.1084
TARA_009	9	39.0609	5.9422
TARA_090	90	-39.5788	-76.9941
TARA_091	91	-34.161	-73.0995
TARA_092	92	-33.6737	-71.9641
TARA_093	93	-33.9116	-73.0537
TARA_094	94	-32.7404	-87.0992
TARA_095	95	-31.3503	-93.9944
TARA_096	96	-29.5976	-101.3647
TARA_097	97	-28.1152	-107.5976
TARA_098	98	-25.8051	-111.7202
TARA_099	99	-21.146	-104.787